index,Country,Date,AvgTemperature
63037,Sri Lanka,2017-01-01,81.0
63038,Sri Lanka,2017-01-02,80.8
63039,Sri Lanka,2017-01-03,80.7
63040,Sri Lanka,2017-01-04,77.4
63041,Sri Lanka,2017-01-05,76.4
63042,Sri Lanka,2017-01-06,78.5
63043,Sri Lanka,2017-01-07,78.3
63044,Sri Lanka,2017-01-08,77.9
63045,Sri Lanka,2017-01-09,76.8
63046,Sri Lanka,2017-01-10,77.1
63047,Sri Lanka,2017-01-11,77.4
63048,Sri Lanka,2017-01-12,75.9
63049,Sri Lanka,2017-01-13,79.3
63050,Sri Lanka,2017-01-14,78.6
63051,Sri Lanka,2017-01-15,81.4
63052,Sri Lanka,2017-01-16,79.7
63053,Sri Lanka,2017-01-17,79.3
63054,Sri Lanka,2017-01-18,80.0
63055,Sri Lanka,2017-01-19,80.8
63056,Sri Lanka,2017-01-20,78.9
63057,Sri Lanka,2017-01-21,80.4
63058,Sri Lanka,2017-01-22,80.6
63059,Sri Lanka,2017-01-23,78.6
63060,Sri Lanka,2017-01-24,77.0
63061,Sri Lanka,2017-01-25,80.1
63062,Sri Lanka,2017-01-26,81.4
63063,Sri Lanka,2017-01-27,76.6
63064,Sri Lanka,2017-01-28,79.8
63065,Sri Lanka,2017-01-29,81.3
63066,Sri Lanka,2017-01-30,80.7
63067,Sri Lanka,2017-01-31,80.1
63068,Sri Lanka,2017-02-01,79.0
63069,Sri Lanka,2017-02-02,79.3
63070,Sri Lanka,2017-02-03,79.6
63071,Sri Lanka,2017-02-04,78.9
63072,Sri Lanka,2017-02-05,79.0
63073,Sri Lanka,2017-02-06,78.4
63074,Sri Lanka,2017-02-07,77.6
63075,Sri Lanka,2017-02-08,78.0
63076,Sri Lanka,2017-02-09,78.2
63077,Sri Lanka,2017-02-10,79.5
63078,Sri Lanka,2017-02-11,78.9
63079,Sri Lanka,2017-02-12,80.4
63080,Sri Lanka,2017-02-13,82.4
63081,Sri Lanka,2017-02-14,82.1
63082,Sri Lanka,2017-02-15,82.7
63083,Sri Lanka,2017-02-16,83.4
63084,Sri Lanka,2017-02-17,82.8
63085,Sri Lanka,2017-02-18,83.4
63086,Sri Lanka,2017-02-19,80.5
63087,Sri Lanka,2017-02-20,80.7
63088,Sri Lanka,2017-02-21,81.2
63089,Sri Lanka,2017-02-22,81.0
63090,Sri Lanka,2017-02-23,82.7
63091,Sri Lanka,2017-02-24,82.0
63092,Sri Lanka,2017-02-25,80.2
63093,Sri Lanka,2017-02-26,79.6
63094,Sri Lanka,2017-02-27,81.2
63095,Sri Lanka,2017-02-28,79.6
63096,Sri Lanka,2017-03-01,79.1
63097,Sri Lanka,2017-03-02,80.4
63098,Sri Lanka,2017-03-03,80.8
63099,Sri Lanka,2017-03-04,81.4
63100,Sri Lanka,2017-03-05,83.3
63101,Sri Lanka,2017-03-06,83.7
63102,Sri Lanka,2017-03-07,82.8
63103,Sri Lanka,2017-03-08,81.6
63104,Sri Lanka,2017-03-09,82.1
63105,Sri Lanka,2017-03-10,79.1
63106,Sri Lanka,2017-03-11,79.6
63107,Sri Lanka,2017-03-12,81.9
63108,Sri Lanka,2017-03-13,80.6
63109,Sri Lanka,2017-03-14,81.0
63110,Sri Lanka,2017-03-15,78.8
63111,Sri Lanka,2017-03-16,79.7
63112,Sri Lanka,2017-03-17,81.8
63113,Sri Lanka,2017-03-18,82.9
